name,altitude,latitude,longitude,view_possible
Großer Muntanitz ,3232.0,47.07361111,12.58916667,False
Le Péouvou ,3232.0,44.63027778,6.88361111,False
Corno di Dosdè ,3232.0,46.40777778,10.16972222,False
Hoher Riffler ,3231.0,47.08111111,11.70444444,False
Augstenberg / Piz Blaisch Lunga ,3230.0,46.86444444,10.20388889,False
Piz Vadret ,3229.0,46.68694444,9.96277778,False
Grand Galibier ,3228.0,45.06388889,6.43416667,True
Tofana di Rozes ,3225.0,46.53694444,12.05111111,False
Hintere Stangenspitze ,3225.0,47.05722222,11.97611111,False
Monte Gavia ,3223.0,46.35416667,10.4725,False
Rocca Bernauda / Roche Bernaude ,3222.0,45.10138889,6.6275,True
Monte Cristallo ,3221.0,46.57527778,12.20055556,False
Monte Civetta ,3220.0,46.38,12.05333333,False
Tour Sallière ,3220.0,46.12694444,6.92472222,True
Vorderes Plattenhorn: Ostgipfel ,3220.0,46.81,10.03305556,False
Vogelberg ,3218.0,46.47833333,9.06527778,False
Monte del Forno ,3214.0,46.33833333,9.72472222,False
Bec de l'Âne ,3213.0,45.61555556,6.98388889,True
Le Métailler ,3213.0,46.10388889,7.36027778,False
Piz Medel ,3211.0,46.61833333,8.91111111,False
Scherbadung / Pizzo Cervandone ,3211.0,46.32416667,8.22305556,True
Diablerets ,3210.0,46.30388889,7.18888889,True
Gran Vernel ,3210.0,46.4425,11.83222222,False
Piz Timun / Pizzo d'Emet ,3209.0,46.46694444,9.40944444,False
Piz Cambrialas ,3208.0,46.78944444,8.85194444,True
Pic du Thabor ,3207.0,45.11861111,6.56222222,False
Hocheiser ,3206.0,47.15638889,12.67333333,False
Glödis ,3206.0,46.96111111,12.72611111,False
Pte Haute de Mary ,3206.0,44.57555556,6.89472222,True
Pta Sorapiss ,3205.0,46.50694444,12.21166667,False
Piz Sesvenna ,3204.0,46.70583333,10.40277778,False
Kitzsteinhorn ,3203.0,47.18805556,12.68777778,False
Schwarzhorn ,3201.0,46.21666667,7.75666667,True
Mastaunspitze ,3200.0,46.69361111,10.8025,False
Piz Vadret ,3199.0,46.50888889,9.95083333,False
Gross Spannort ,3198.0,46.78666667,8.52444444,False
Dreiländerspitze ,3197.0,46.85083333,10.14472222,False
Ptes de Pierre Brune ,3196.0,45.37805556,6.85694444,True
Mont Tondu ,3196.0,45.76388889,6.75555556,True
Bortelhorn / Pta del Rebbio (3193.6 m),3193.6,46.29472222,8.12527778,True
Rocca Blancia ,3193.0,44.49916667,6.86472222,True
Cima Vezzana ,3192.0,46.28972222,11.83027778,False
Pizzo Rotondo ,3192.0,46.5175,8.46611111,True
Hübschhorn I ,3192.0,46.23694444,8.05527778,False
Scopi ,3190.0,46.57166667,8.83,True
Löffelspitze ,3190.0,47.0175,12.16444444,False
Spechhorn / Pizzo d'Antigine ,3189.0,46.01222222,8.00111111,False
Gleirscher Fernerkogel ,3189.0,47.11416667,11.06361111,False
Piz Surlej ,3188.0,46.45333333,9.84305556,False
Gross Windgällen ,3187.0,46.80722222,8.73222222,False
Becca Tey ,3186.0,45.58611111,7.09472222,True
Mont Glacier ,3185.0,45.63138889,7.53972222,True
Langkofel / Saslonch ,3181.0,46.525,11.73527778,False
Piz Murtaröl ,3180.0,46.57027778,10.2875,False
Piz Tasna ,3179.0,46.85916667,10.25222222,False
Piz Pisoc ,3173.0,46.74444444,10.27944444,False
Corn da Tinizong / Tinzenhorn ,3173.0,46.61166667,9.67111111,False
Pte de Paumont / Cima del Vallone ,3171.0,45.13944444,6.72833333,False
Großer Fensterlekofel ,3171.0,46.89222222,12.04305556,False
Pic du Clapier du Peyron ,3169.0,44.93722222,6.07694444,True
Hoher Riffler ,3168.0,47.11611111,10.37083333,False
Monte Pelmo ,3168.0,46.41944444,12.135,False
Piz Tavrü ,3168.0,46.67916667,10.29611111,False
Piz Vial ,3168.0,46.63194444,8.96916667,True
Piz Plavna Dadaint ,3167.0,46.70861111,10.22361111,False
Piz Albris ,3166.0,46.46416667,9.96333333,False
Piz Lagrev ,3165.0,46.44583333,9.72277778,False
Piz Quattervals ,3165.0,46.62722222,10.095,False
Tête de Sautron /Monte Sautron ,3165.0,44.48666667,6.8775,False
Rosa dei Banchi ,3164.0,45.57722222,7.5325,True
Vieux Chaillol ,3163.0,44.73611111,6.19055556,False
Pizzo Stella ,3163.0,46.38166667,9.42138889,False
Pta Clairy ,3162.0,45.24416667,6.87305556,False
Piz Mitgel ,3159.0,46.61416667,9.64666667,False
Hausstock ,3158.0,46.87444444,9.06555556,False
Monte Vallecetta ,3156.0,46.41194444,10.40027778,False
Tête de Vautisse ,3156.0,44.70138889,6.48583333,True
Pic Ouest de Combeynot ,3155.0,45.01222222,6.41111111,True
Piz Prüna ,3153.0,46.48722222,9.98722222,False
Piz Boè ,3152.0,46.50888889,11.82805556,False
Piz Popena ,3152.0,46.57638889,12.2075,False
Cima Brenta ,3151.0,46.17944444,10.89972222,False
Piz Terri ,3149.0,46.6,9.03416667,True
Becs de Bosson ,3149.0,46.16777778,7.51805556,True
Kuchenspitze ,3148.0,47.04861111,10.23,False
Zillerplattenspitze ,3148.0,47.10416667,12.12972222,False
Pfroslkopf ,3148.0,46.97777778,10.68916667,False
Croda Rossa / Hohe Gaisl ,3146.0,46.63472222,12.14361111,False
Flüela Schwarzhorn ,3146.0,46.73583333,9.94166667,False
Mont Raffrey ,3146.0,45.64777778,7.51083333,True
Piz Mundin ,3146.0,46.92527778,10.43083333,False
Dreischusterspitze ,3145.0,46.66888889,12.31722222,False
Napfspitze ,3144.0,47.06,12.03972222,False
Piz Tea Fondada / Monte Cornaccia ,3144.0,46.54944444,10.30805556,False
Cime du Gélas / Monte Gelàs ,3143.0,44.12305556,7.38472222,True
Jochköpfl ,3143.0,46.9275,11.10777778,False
Monte Cassa del Ferro ,3140.0,46.57861111,10.20166667,False
Cima Tosa ,3140.0,46.15527778,10.87055556,False
Cime Redasco ,3139.0,46.36944444,10.30777778,False
Gross Ruchen ,3138.0,46.81027778,8.77472222,False
Durreck ,3135.0,46.96111111,12.02888889,False
Wilde Kreuzspitze ,3135.0,46.9125,11.59333333,False
Großer Friedrichskopf ,3134.0,46.95777778,12.82861111,False
Hinter Schloss ,3133.0,46.8025,8.52694444,False
Pizzo Filone ,3133.0,46.4575,10.16333333,False
Oldenhorn ,3132.0,46.32916667,7.22166667,True
Mont Chaberton ,3131.0,44.96472222,6.75166667,True
Piz Duan ,3131.0,46.37527778,9.58333333,False
Pte Léchaud ,3128.0,45.73361111,6.81416667,True
Grohmannspitze ,3126.0,46.51055556,11.73361111,False
Piz Schumbraida ,3125.0,46.54277778,10.33833333,False
Fanellhorn ,3124.0,46.54777778,9.13055556,False
Piz Nuna ,3123.0,46.72333333,10.15444444,False
Schareck ,3123.0,47.04138889,13.0175,False
Groß Seehorn ,3122.0,46.88777778,10.0325,False
Piz Aul ,3121.0,46.62277778,9.125,False
Piz da l'Acqua ,3118.0,46.61111111,10.13888889,False
Grand Pinier ,3117.0,44.72361111,6.40166667,True
Schermerspitze ,3116.0,46.88777778,11.08444444,False
Grand Queyras ,3114.0,44.71555556,6.95194444,True
Luibiskogel ,3110.0,47.04972222,10.90416667,False
